headline,link,time
"শাশুড়িকে কুপিয়ে হত্যা, জামাতা গ্রেফতার",https://www.jugantor.com/country-news/431084/শাশুড়িকে-কুপিয়ে-হত্যা-জামাতা-গ্রেফতার,"৩ জুন, ২০২১"
জোয়ারের পানিতে ভেসে গেল বিধবা,https://www.jugantor.com/country-news/425076/জোয়ারের-পানিতে-ভেসে-গেল-বিধবা,"৭ মে, ২০২১"
"ট্রাকের ধাক্কায় মোটরসাইকেল থেকে ছিটকে সড়কে, স্কুলশিক্ষিকা নিহত",https://www.jugantor.com/country-news/422362/ট্রাকের-ধাক্কায়-মোটরসাইকেল-থেকে-ছিটকে-সড়কে-স্কুলশিক্ষিকা-নিহত,"৯ মে, ২০২১"
মাছের সঙ্গে এ কেমন শত্রুতা,https://www.jugantor.com/country-news/413989/মাছের-সঙ্গে-এ-কেমন-শত্রুতা,"১ এপ্রিল, ২০২১"
পটুয়াখালীতে ডায়রিয়ায় ৪ জনের মৃত্যু,https://www.jugantor.com/country-news/412933/পটুয়াখালীতে-ডায়রিয়ায়-৪-জনের-মৃত্যু,"৮ এপ্রিল, ২০২১"
"পায়রা সেতুর টোল নির্ধারণ, খুলে দেওয়া হবে জুলাইয়ে",https://www.jugantor.com/country-news/405288/পায়রা-সেতুর-টোল-নির্ধারণ-খুলে-দেওয়া-হবে-জুলাইয়ে,"৪ মার্চ, ২০২১"
"বাথরুমের মেঝেতে মিলল গাঁজা-ইয়াবা, আটক ১",https://www.jugantor.com/country-news/404169/বাথরুমের-মেঝেতে-মিলল-গাঁজাইয়াবা-আটক-১,"১ মার্চ, ২০২১"
নির্মাণকাজ শেষ না হতেই পায়রা সেতুতে ধস,https://www.jugantor.com/country-news/403138/নির্মাণকাজ-শেষ-না-হতেই-পায়রা-সেতুতে-ধস,"৮ মার্চ, ২০২১"
আমার মেয়ের ইজ্জতের মূল্য কি ৫০০ টাকা?,https://www.jugantor.com/country-news/400929/আমার-মেয়ের-ইজ্জতের-মূল্য-কি-৫০০-টাকা,"১ মার্চ, ২০২১"
"নিয়ন্ত্রণ হারিয়ে গাছে বাসের ধাক্কা, ১০ যাত্রী আহত",https://www.jugantor.com/country-news/400224/নিয়ন্ত্রণ-হারিয়ে-গাছে-বাসের-ধাক্কা-১০-যাত্রী-আহত,"৯ মার্চ, ২০২১"
৪০ দিনের কর্মসূচির নামে নানা অনিয়ম,https://www.jugantor.com/country-news/396272/৪০-দিনের-কর্মসূচির-নামে-নানা-অনিয়ম,"৪ ফেব্রুয়ারি, ২০২১"
মৃত্যুর পর গার্ড অব অনার চান না তিনি,https://www.jugantor.com/country-news/392449/মৃত্যুর-পর-গার্ড-অব-অনার-চান-না-তিনি,"১ ফেব্রুয়ারি, ২০২১"
